movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Pirates of the Caribbean: The Curse o…,2003-07,Adventure,PG-13,305411224.0,426967926.0
Freaky Friday (b),2003-08,Comedy,PG,110222438.0,154090360.0
Open Range,2003-08,Western,R,58331254.0,81547672.0
Cold Creek Manor,2003-09,Thriller/Suspense,R,21384035.0,29895090.0
Under the Tuscan Sun,2003-09,Comedy,PG-13,43601508.0,60944053.0
Veronica Guerin,2003-10,Drama,R,1569918.0,2194759.0
Brother Bear,2003-11,Adventure,G,85336277.0,119218333.0
The Haunted Mansion,2003-11,Comedy,PG,75817994.0,105775678.0
Calendar Girls,2003-12,Comedy,PG-13,31011616.0,42379650.0
Young Black Stallion,2003-12,Adventure,G,6751389.0,9254344.0
Teacher's Pet: The Movie,2004-01,Comedy,PG,6491969.0,8812764.0
Miracle,2004-02,Drama,PG,64378093.0,87392478.0
Confessions of a Teenage Drama Queen,2004-02,Comedy,PG,29331068.0,39816568.0
Hidalgo,2004-03,Western,PG-13,67286731.0,91340921.0
The Ladykillers,2004-03,Comedy,R,39692139.0,53881593.0
Home on the Range,2004-04,Comedy,PG,50026353.0,67910166.0
The Alamo,2004-04,Western,PG-13,22406362.0,30416359.0
Raising Helen,2004-05,Comedy,PG-13,37485528.0,50886144.0
Around the World in 80 Days,2004-06,Adventure,PG,24004159.0,32585356.0
America's Heart and Soul,2004-07,Documentary,Not Rated,314000.0,426246.0
King Arthur,2004-07,Adventure,PG-13,51877963.0,70423706.0
The Village,2004-07,Thriller/Suspense,PG-13,114197520.0,155021748.0
The Princess Diaries 2: Royal Engagement,2004-08,Romantic Comedy,G,95149435.0,129164207.0
Mr. 3000,2004-09,Comedy,PG-13,21800302.0,29593641.0
The Last Shot,2004-09,Comedy,R,463730.0,629502.0
Ladder 49,2004-10,Action,PG-13,74541707.0,101161045.0
The Incredibles,2004-11,Adventure,PG,261441092.0,354488708.0
